City,total_population,voters,non_voters,voter_rate
COUPEVILLE,4,2,2,0.5
COVINGTON,249,102,147,0.40963855421686746
CUSTER,3,3,0,1.0
DAVENPORT,1,0,1,0.0
DAYTON,1,0,1,0.0
DEER PARK,9,5,4,0.5555555555555556
DEMING,2,2,0,1.0
DES MOINES,528,193,335,0.36553030303030304
DRYDEN,1,1,0,1.0
DUPONT,16,7,9,0.4375
DUVALL,65,47,18,0.7230769230769231
EAST WENATCHEE,17,10,7,0.5882352941176471
EASTON,2,2,0,1.0
EASTSOUND,1,1,0,1.0
