Election ,JURISDICTION,City/District #,Position_Type,Number_of_Muslims,Impact,Vote_Difference,Name_1,Votes_1,Name_2,Votes_2
General_2019,City Council,MILLWOOD,Pos. 3,0,< 25%,163,Mary (Kate) McLachlan,324,Ed Mack,161
General_2019,City Council,MILLWOOD,Pos. 4,0,< 25%,97,Andrew Van Hees,296,Jay Molitor,199
General_2019,City Council,MILLWOOD,Pos. 5,0,< 25%,375,Shaun Culler,385,Write-In,10
General_2019,City Council,MILTON,Pos. 4,12,< 25%,148,Jim Gillespie,1021,Mary Tompkins,873
General_2019,City Council,MILTON,Pos. 6,12,< 25%,192,Phil Linden,1024,Mark E. Hutson,832
General_2019,City Council,MILTON,Pos. 7,12,< 25%,1361,Robert (Bob) Whalen,1413,Write-In,52
General_2019,City Council,MILTON,Pos. 1,12,> 50%,10,Timothy Morrison,41,Billy Fisher,31
General_2019,City Council,MILTON,Pos. 2,12,> 50%,8,Travis M. Patrick,46,Theresa Boots,38
General_2019,City Council,MILTON,Pos. 3,12,> 50%,18,Lisa R. Johnson,50,Dean H Vandiver,32
General_2019,City Council,MILTON,Pos. 5,12,25-50%,39,Geoff Perkins,48,Patrick Benjamin,9
General_2019,City Council,MONROE,Pos. 4,85,< 25%,2513,Heather K. Rousey,2562,Write-In,49
General_2019,City Council,MONROE,Pos. 5,85,< 25%,1520,Ed Davis,2248,Delma Silva,728
General_2019,City Council,MONROE,Pos. 6,85,< 25%,2119,Jason Gamble,2210,Write-In,91
General_2019,City Council,MONTESANO,Pos. 4,1,< 25%,146,Dave Skaramuca,605,Brooke Chapman-Hoiness,459
General_2019,City Council,MONTESANO,Pos. 5,1,< 25%,790,Megan M. Valentine,800,Write-In,10
General_2019,City Council,MONTESANO,Pos. 7,1,< 25%,810,Dan Wood,829,Write-In,19
General_2019,City Council,MORTON,Pos. 1,0,< 25%,58,Kevin Dunlap Jr.,179,Jessica Scogin,121
General_2019,City Council,MORTON,Pos. 4,0,< 25%,10,Travis Cooper,151,Amanda West,141
General_2019,City Council,MOSES LAKE,Pos. 3,36,< 25%,2338,Don Myers,2404,Write-In,66
General_2019,City Council,MOSES LAKE,Pos. 6,36,< 25%,2352,David P Eck,2413,Write-In,61
General_2019,City Council,MOSES LAKE,Pos. 7,36,< 25%,2363,Dean Hankins,2426,Write-In,63
General_2019,City Council,MOSSYROCK,Pos. 2,1,< 25%,66,Beatrice C. Minnear,67,Write-In,1
General_2019,City Council,MOSSYROCK,Pos. 3,1,< 25%,65,Kathleen Brown,66,Write-In,1
General_2019,City Council,MOSSYROCK,Pos. 4,1,< 25%,64,Jeffrey Bellino,66,Write-In,2
General_2019,City Council,MOSSYROCK,Pos. 5,1,< 25%,70,Teresa Quinlan,71,Write-In,1
General_2019,City Council,MOUNT VERNON,Ward 1 Pos. 1,37,< 25%,1907,Erin Moberg,4342,Shelley Acero,2435
